category,table,rowKey,column,value,reason
"missing-user","AbpRoleClaims","29bdcce4-d143-4df0-8e13-8100007d20b2","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","2b6a7bed-0deb-4973-9d1c-b5bae6a4fcc1","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","2b7dd3ef-0b73-4ae4-84e2-0a3d8d1d972a","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","2e20b246-9a61-4304-b2b6-f7450a0d671c","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","2f05ccc9-2f3d-466f-9d09-e851a7bcb0d5","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","2f165b34-47de-42a5-8460-80b2a50dc46f","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","2fe99e38-6306-4757-9c40-1d0399a24383","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","34d0d36e-f38e-4584-be8b-2afbbe68f142","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","3598d3c5-5653-492a-b9ff-b1a05d7f18ba","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","35eaa43c-a4fb-46f7-929a-e2d1c4ca2a89","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","3660f5f0-25ed-4c6a-80b2-2c8064b41eec","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","36f728bd-2b5c-4fef-a098-8f71a551200b","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","37e207bf-0cd7-4e3a-8d0f-cd39c191f7f9","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","3908cb32-1d85-4392-89d3-8a8b0a8c7545","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","3910a27e-7e8f-4d3a-b456-b5547a4d9cd4","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","3c011521-b696-425d-bc01-fa912b283403","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","3d6848c4-3686-4440-bc00-bf0d02623fc4","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","3da0b7a5-8a2f-4454-8552-7d2d05bef3cd","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","3e276242-62ed-4efb-8f5c-c3d4569f6dd4","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","3f6a3f6d-740b-437e-9b4d-128534cfa08c","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
